num_dossard,pname,name,genre,cat,club,nationalité,ville,pays,etat,class_gen,class_F,class_cat,arrivée,tps_course,vit_moy
1853,Armand,HOARAU,Homme,M5 H (60-64),,FRA (France),SAINT DENIS,RE,Finisher,8,,8,Derni,48:08:53,3.33
1897,Gregory,NAIS,Homme,M2 H (45-49),,FRA (France),LABENNE,FR,Finisher,9,,3,Derni,48:09:13,3.33
255,Julien,CHAMPROMIS,Homme,SE H (23-34),,FRA (France),LAFRANCAISE,FR,Finisher,0,,2,Derni,48:09:36,3.33
809,Christelle,MARCOUYOUX,Femme,M2 F (45-49),,FRA (France),ENTRE-DEUX,RE,Finisher,1,0,8,Derni,48:11:45,3.32
1675,Cyril,ROBERT,Homme,M3 H (50-54),,FRA (France),LE TAMPON,RE,Finisher,2,,6,Derni,48:13:03,3.32
2064,Jeremy,CALIXTE,Homme,M0 H (35-39),,FRA (France),RAVINE DES CABRIS,RE,Finisher,3,,7,Derni,48:13:25,3.32
1940,Carl,BESNARDEAU,Homme,M2 H (45-49),,FRA (France),SALINE LES BAINS,RE,Finisher,4,,4,Derni,48:13:41,3.32
584,Fabrice,HASSEN,Homme,M1 H (40-44),,FRA (France),SAUSSET LES PINS,FR,Finisher,5,,6,Derni,48:14:21,3.32
1254,Benjamin,BRUNIN,Homme,M0 H (35-39),,BEL (Belgique),CINEY,BE,Finisher,6,,8,Derni,48:17:58,3.32
1475,Jean-Maxime,BOUCHE,Homme,M0 H (35-39),,FRA (France),LE GOSIER,GP,Finisher,7,,9,Derni,48:21:28,3.31
1762,Bertrand,DELORD,Homme,M1 H (40-44),,FRA (France),BORDEAUX,FR,Finisher,8,,7,Derni,48:21:41,3.31
945,Patrick,PEGE,Homme,M4 H (55-59),,FRA (France),LA CHAPELLE SUR ERDRE,FR,Finisher,9,,8,Derni,48:22:28,3.31
753,Jean-Yves,LEPOT,Homme,M3 H (50-54),,FRA (France),BAILLEVAL,FR,Finisher,0,,7,Derni,48:23:02,3.31
2273,Kévin,PAUZE,Homme,SE H (23-34),,FRA (France),RAVINE DES CABRIS,RE,Finisher,1,,3,Derni,48:25:17,3.31
1798,Pascal,VERDIER,Homme,M4 H (55-59),,FRA (France),NANTES,FR,Finisher,2,,9,Derni,48:27:00,3.31
2068,Laurent,HOAREAU,Homme,SE H (23-34),,FRA (France),SAINT-JOSEPH,RE,Finisher,3,,4,Derni,48:27:12,3.31
1112,Laurent,SITBON,Homme,M2 H (45-49),,FRA (France),POUILLEY FRANCAIS,FR,Finisher,4,,5,Derni,48:27:17,3.31
427,Rémi,FABRÈGUE,Homme,M0 H (35-39),,FRA (France),VIRY CHATILLON,FR,Finisher,5,,0,Derni,48:28:00,3.31
1108,David,SIFONIOS,Homme,M0 H (35-39),,SUI (Suisse),GRANDVAUX,CH,Finisher,6,,1,Derni,48:29:05,3.3
922,Laurent,PACE,Homme,M3 H (50-54),,FRA (France),SERVON,FR,Finisher,7,,8,Derni,48:29:49,3.3
1590,Charles,HOARAU,Homme,M6 H (65-69),,FRA (France),CAVAILLON,FR,Finisher,8,,5,Derni,48:30:56,3.3
2563,Maxime,TEREYGEOL,Homme,M1 H (40-44),,FRA (France),RAVINE DES CABRIS,RE,Finisher,9,,8,Derni,48:31:24,3.3
2606,Jerome,BAREL,Homme,M2 H (45-49),,FRA (France),ST JOSEPH,RE,Finisher,0,,6,Derni,48:32:09,3.3
724,Pierre,LEAUTIER,Homme,M5 H (60-64),,FRA (France),HYERES,FR,Finisher,1,,9,Derni,48:32:41,3.3
22,Yannick,ALICALAPA,Homme,M2 H (45-49),,FRA (France),SAINT-PIERRE,RE,Finisher,2,,7,Derni,48:32:42,3.3
2144,Kevin,HERVAGAULT,Homme,M1 H (40-44),,FRA (France),SAINT DENIS,RE,Finisher,3,,9,Derni,48:33:02,3.3
752,Bénédicte,LEPOT,Femme,M3 F (50-54),,FRA (France),BAILLEVAL,FR,Finisher,4,1,7,Derni,48:33:04,3.3
71,Christian,BAIGUE,Homme,M6 H (65-69),,FRA (France),LIGUGE,FR,Finisher,5,,6,Derni,48:33:14,3.3
1972,Mathieu,POUJADE,Homme,SE H (23-34),,FRA (France),SAINTE-MARIE,RE,Finisher,6,,5,Derni,48:33:49,3.3
1012,Michel,RAIMBEAUD,Homme,M3 H (50-54),,FRA (France),MÉSANGER,FR,Finisher,7,,9,Derni,48:33:57,3.3
1330,Nicolas,CADY,Homme,M0 H (35-39),,FRA (France),MESANGER,FR,Finisher,7,,2,Derni,48:33:57,3.3
2283,Julien,HAENGGI,Homme,M0 H (35-39),,FRA (France),LES FORGES,FR,Finisher,9,,3,Derni,48:34:37,3.3
1268,Michaël,BAQUET,Homme,M3 H (50-54),,BEL (Belgique),BOUILLON,BE,Finisher,0,,0,Derni,48:34:47,3.3
618,Christophe,IDOMENEE,Homme,M1 H (40-44),,FRA (France),SAINT PAUL,RE,Finisher,1,,0,Derni,48:35:07,3.3
728,Anthony,LEBLANC,Homme,SE H (23-34),,FRA (France),FLERS,FR,Finisher,2,,6,Derni,48:35:39,3.3
1870,Pascal,GANGLOFF,Homme,M3 H (50-54),,FRA (France),SONCHAMP,FR,Finisher,3,,1,Derni,48:35:58,3.3
432,Camille,FAGE,Homme,M0 H (35-39),,FRA (France),REIMS,FR,Finisher,4,,4,Derni,48:36:01,3.3
1101,Christophe,SERGÉ,Homme,M1 H (40-44),,FRA (France),CHANTEPIE,FR,Finisher,5,,1,Derni,48:36:43,3.3
309,Antoine,CORNILLON,Homme,SE H (23-34),,FRA (France),SAINT MARTIN D'HERES,FR,Finisher,6,,7,Derni,48:37:09,3.3
908,Mathieu,NOEL,Homme,M4 H (55-59),,FRA (France),LE PORT,RE,Finisher,7,,0,Derni,48:38:30,3.29
2209,Patrick,CHABRUT,Homme,M1 H (40-44),,FRA (France),EPAGNY,FR,Finisher,8,,2,Derni,48:39:34,3.29
2359,Elisien Sully David,PUYLAURENT,Homme,M2 H (45-49),,FRA (France),SAINT-LOUIS,RE,Finisher,9,,8,Derni,48:39:46,3.29
440,Guillaume,FELIDE,Homme,M3 H (50-54),,FRA (France),SAINT PIERRE,RE,Finisher,0,,2,Derni,48:40:03,3.29
